,Username,Konten,Lokasi
241,Gus_Tamim_,"Dari Desa untuk Indonesia
Budal Gus !
@cakimiNOW #gusmuhaiminpresident2024 
#akunuakupkb #mandatdesa 
#cakimin #GusMuhaimin @DPP_PKB @dpwpkbjatim_ https://t.co/lcu1aXpNzC",
242,PKBTulungagung,Cak imin Raih dukungan teratas di uji kekuatan elektoral NU. https://t.co/TiosDSRubR,"Tulungagung, Jawa Timur"
243,PKBTulungagung,Cak imin Raih dukungan teratas di uji kekuatan elektoral NU. https://t.co/mrODzQU5mM,"Tulungagung, Jawa Timur"
244,Thou_Pick,@liputan6dotcom emang ada yg dukung Cak Imin ???,
245,Ollan395,@kenzie_03012007 hahaha....halu nya ktinggian cak imin,
246,gaspoll2024,"Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC

#gaspoll #GusMuhaiminAsikPoll https://t.co/LBWBYLjssI","DKI Jakarta, Indonesia"
247,lunte_yunita,Cak Imin Bukan Politisi BAPER https://t.co/EsxBjULhmH,
248,BimataIndonesia,Cak Imin Hingga Khofifah Masuk Bursa Capres-Cawapres dari Tokoh NU https://t.co/Ewkh9EYlzE,Indonesia
249,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/TXWQ0j3ptH,
250,EErupley,#cakimin https://t.co/AgmQvs0eOJ,
251,Dicky3hook,#CakImin https://t.co/svp6zgYVJe,
252,mbisritanjaly75,"#gusmuhaiminberangkat
Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/17c8bmCPko",
253,Jhonkosmik,@jatmiko99604253 Bagus juga kalau Cak Imin-Anies,
254,rudiiriandi,"@liputan6dotcom Sdh ketahuan sekarang calon presiden satu lagi, fixed saat ini belum tertarik sama Cak Imin. Lanjutkan Cak Imin, semoga berhasil....","Tanjungpinang, Kepulauan Riau "
255,jatmiko99604253,"@Jhonkosmik Ahy nya juga gak pede , kalah sama cak Imin",
256,Hen43025717,"# cak imin
#huda
#Oleh Soleh https://t.co/2Wp3oqoXRF",
257,Disuruh_Iben,"Tetap Usung Cak Imin di Pilpres 2024, PKB Tutup Pintu untuk Calon Lain - https://t.co/aq1uhiUil6 https://t.co/NqXuEJywJc #IndonesiaKuat #BangkitBersama",Pulau Impian
258,Disuruh_Iben,"PKB Tetap Dukung Cak Imin Maju Pilpres, Minta Khofifah Tetap Jadi Gubernur Jawa Timur - https://t.co/v8eGYL9JfV https://t.co/S1hQbK80CI #IndonesiaKuat #BangkitBersama",Pulau Impian
259,Disuruh_Iben,PKB Sebut Cak Imin Bukan Usul Hapus Jabatan Gubernur Tapi Pilgubnya - VIVA - https://t.co/W4jcm9jFMS https://t.co/TsCJoRYvCE #IndonesiaKuat #BangkitBersama,Pulau Impian
260,ceklissatucom,"Tetap Usung Cak Imin di Pilpres 2024, PKB Tutup Pintu untuk Calon Lain https://t.co/G76SNuh09U","Bogor, Indonesia"
261,rmp_officials,"Bismillah Allahumma bibarkati poro ulama NU 

#CakImin #GusMuhaimin #Muhaimin #MuhaiminIskandar #SatuAbadNU #NahdlatulUlama #NU https://t.co/Jqf5HehJdV",
262,SitaWarohma,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
263,AnastiDina,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
264,YunitaSyafa2,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
265,apip_mustari,"#CakImin
#SaifulHoda
#Z_OlehSoleh https://t.co/jIwGvXHkFd",Tanjungjaya Tasikmalaya
266,fathw25,Cak Imin Diminta Segera Bicarakan Hasil Ijtima Ulama dengan ... - https://t.co/Q2HdyNczgV https://t.co/4pNQcOAX6u #IndonesiaKuat #BangkitBersama,
267,fathw25,"Disinggung Duet Bareng Puan, Cak Imin: Tanya Pak Prabowo Dulu - SINDOnews Nasional https://t.co/bHM6JCVgwd #IndonesiaKuat #BangkitBersama",
268,usmanulim,"Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC
Alhamdulillah...
#GusMuhaiminBerangkat 
@cakimiNOW
@Jazilul_Fawaid
@EmHasanuddin
@IrmawanPKB
@DPP_PKB
@zainul_munas
@SukoyoKasekpro
@zainul_munas
@Yusrikasem1
@Mursyidan10

 https://t.co/opLvJahmW0",
269,utadmuhtadi1982,"#cakimin 
#olehsoleh 
#huda https://t.co/7oIwgcB3IX",
270,InfoJktCom,"Di Hadapan Cak Imin, Ketua IMM Jakarta: Calon Pemimpin Jangan Bermodal Survei Saja https://t.co/OjjELiSVed",Jakarta
271,PoppyYanti1,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Lembang
272,SeputarPemilu,Dampak Pertemuan Airlangga dan Cak Imin Bisa Mengubah Peta Koalisi di Pemilu 2024 - https://t.co/pZeYVnlPjG https://t.co/pdPiICnlyu,Indonesia
273,lpppkbpas,"Cak Imin tidak bisa diragukan lagi soal ke-NU-an, beliau lahir, besar dan dididik oleh keluarga NU!

#CakImin #GusMuhaimin #Muhaimin #MuhaiminIskandar #SatuAbadNU #NahdlatulUlama #NU #LPPPKBKabPasuruan https://t.co/pgqEUTsVqW",
274,Firmansyahlepi,"*Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC*

https://t.co/jU53zyuE8Y

2024 GUS MUHAIMIN PRESIDEN","Cianjur, Indonesia"
275,fitra_mirza,"#BudalGus
#GusMuhaiminBerangkat 
@cakimiNOW
@Jazilul_Fawaid
@EmHasanuddin
@IrmawanPKB
@DPP_PKB
@zainul_munas
@SukoyoKasekpro
@zainul_munas
@Yusrikasem1
@Mursyidan10
Berkomitmen akan menjadikan masukan Pembangunan Daerah sebagai agenda Nasional kata Cak Imin https://t.co/dqgWLdWxw2","Meureudu, Indonesia"
276,Kop15achet,@Bambangelf Cakimin pancen oyyee..,
277,Disuruh_Iben,Cak Imin Harap Bisa Deklarasi Capres-Cawapres Sebelum Ramadan - CNN Indonesia https://t.co/dElXwZekGR #IndonesiaKuat #BangkitBersama,Pulau Impian
278,merdekadotcom,"PKB: Khofifah Gubernur Jatim Saja, Cak Imin yang Terbaik untuk Pemilu 2024 https://t.co/QPoNVERjSz",Indonesia
279,liputan6dotcom,"Dukung Cak Imin di Pilpres 2024, PKB Tutup Pintu untuk Calon Lain https://t.co/dvcZXRJ8Wy",INDONESIA
280,akuratco,"Gerindra: Cak Imin Calon Kuat Dampingi Prabowo di Pilpres 2024

https://t.co/h0kzjK9xvY",Jakarta Capital Region
281,NgalimanMS,"Cak Imin meraih dukungan teratas uji kekuatan elektoral NU dari SMRC https://t.co/i4CQZf3QeY
@cakimiNOW 
@EmHasanuddin 
@DPP_PKB 
@Jazilul_Fawaid 
@SukoyoKasekpro
@zainul_munas 
@Brigade01Arwan1 
@Mursyidan10
@NgalimanMS",Aceh Utara
282,nfnkristiono8,"@cakimiNOW Lha wong selama ini lgs kena sunat terus Cak Imin. Skr dah baik lgs diterima yg berhak, kl ada masalah tinggal diperbaiki aja. Cak Imin kok punya ide justru set back sih.",
283,Disuruh_Iben,"Ikhlaskah Cak Imin, Jika Prabowo Subianto Pilih Khofifah Jadi Cawapres? - https://t.co/rMcvXyHo1a - https://t.co/rMcvXyHo1a https://t.co/pGlLjtpiRN #IndonesiaKuat #BangkitBersama",Pulau Impian
284,SidikAhmadd1,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Bekasi
285,MaulAkbar12,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Jakarta
286,danaal13,"Cak Imin Pemimpin masa depan bangsa 
@cakimiNOW 
@EmHasanuddin 
@DPP_PKB 
@Jazilul_Fawaid 
@zainul_munas 
@Brigade01Arwan1 
@Mursyidan10 https://t.co/LYxoyUdLT0",
287,Suhermanssee,"Cak Imin Pemimpin masa depan bangsa 
@cakimiNOW 
@EmHasanuddin 
@DPP_PKB 
@Jazilul_Fawaid 
@zainul_munas 
@Brigade01Arwan1 
@Mursyidan10 https://t.co/NyzJo3kUs0","Aceh Besar, Aceh"
288,MadonaPrimadi,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Jakartaa
289,darmaji_widi,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Sumatra
290,liputan6dotcom,Dampak Pertemuan Airlangga dan Cak Imin Bisa Mengubah Peta Koalisi di Pemilu 2024 https://t.co/hxXU0FODcJ,INDONESIA
291,kopihpbi,Cak Imin Usulkan Dana Desa Rp 5 Miliar Per Tahun By BeritaSatu – https://t.co/FaH3hgh3Go – #Opsiin #Kamidi #Opsiminfo https://t.co/60Eo1k1tgS,
292,HidayantiWisma,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Bandung
293,DwiSiva3,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Kediri
294,EnyPratiwi17,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
295,SalmaRamania,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

@prabowo

#capres2024

#pemilu2024

#dekade08

#terusmajubersamaprabowo

#mendingprabowo",Bekasi
296,LathifaYani,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

@prabowo

#capres2024

#pemilu2024

#dekade08

#terusmajubersamaprabowo

#mendingprabowo",Pluit
297,PrabaswaraRifqi,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

@prabowo

#capres2024

#pemilu2024

#dekade08

#terusmajubersamaprabowo

#mendingprabowo",
298,WahidRmdhn,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

@prabowo

#capres2024

#pemilu2024

#dekade08

#terusmajubersamaprabowo

#mendingprabowo",Jakarta
299,ThohirSyarief,@prabowo Terus jadi berpasangan dengan cak imin pak?,"Kota Surabaya, Jawa Timur"
300,haelamarie,"Umumkan soal Capres-Cawapres, Cak Imin: Semoga Bulan Depan Ada Keputusan - https://t.co/ew5SRuc3Mg https://t.co/4HMqwqkhAG #IndonesiaKuat #BangkitBersama",Indonesia
301,Disuruh_Iben,"Ikhlaskah Cak Imin, Jika Prabowo Subianto Pilih Khofifah Jadi Cawapres? - https://t.co/rMcvXyHo1a https://t.co/bzUpZytO0s #IndonesiaKuat #BangkitBersama",Pulau Impian
302,tawajkt,"Inilah Jeleknya!

PKB Halangi Khofifah Saingi Cak Imin: Lebih Baik Lanjut Jadi Gubernur Jatim.

Pada hal Khofifah lebih potential dan punya nilai jual dari pada Muhaimin. https://t.co/UXEiAVvevr","Makassar-Jakarta, Indonesia "
303,Dinaismawardan1,"Muhaimin Iskandar, Cak Imin meraih posisi teratas dalam survei SMRC yang mengukur tingkat elektabilitas beberapa tokoh NU
https://t.co/DnXhPS5Zrx",
304,bundazira_sari,Cak Imin raih dukungan teratas dalam survei SMRC https://t.co/LXYBtuw5gX,"Lampung, Indonesia"
305,wpuji992,"https://t.co/sC2MXqE7jC

Baca artikel detiknews, ""Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC"" selengkapnya https://t.co/OBMPFpwSdk.

Download Apps Detikcom Sekarang https://t.co/cQjC2xtHqF",
306,liputan6dotcom,"Umumkan soal Capres-Cawapres, Cak Imin: Semoga Bulan Depan Ada Keputusan https://t.co/dRM2KrJDCJ",INDONESIA
307,Samuder53291026,"10 tahun yg lalu saat menggantar #MariAlkatiri silaturaheem ke rumah dinas @cakimiNOW,beliau sambil bercanda mengatakan bhw apapun yg dilakukan dan di prediksi ttg #Pesantren akhirnya #PKB juga yg jadi pilihan para Kyahi dan Santri.Jatim gudangnya Pesantren tanpa #Cakimin, hati2! https://t.co/Dv8wRxS6cX","DKI Jakarta, Indonesia"
308,Disuruh_Iben,Ijtima Ulama Nusantara: Cak Imin harus menangkan PKB pada 2024 - ANTARA Jogja https://t.co/af1KIasX7h #IndonesiaKuat #BangkitBersama,Pulau Impian
309,Samuder53291026,"@prabowo konon berpeluang kalah di #Jatim krn @KhofifahIP lbh menjanjikan.ttp jgn lupa ada #PKB yg jadi mesin suara di sini dan itu identik dgn #CakImin bukan #khofifah.Krn @Gerindra belum memenuhi PT 20%. Dibutuhkan komitmen dlm berkoalisi. 
@cakiminNOW
https://t.co/afcjs0h3jQ","DKI Jakarta, Indonesia"
310,PutraHazell,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
311,AnjaniRiffa,"Ada Sinyal Duet Prabowo dan Khofifah di Pilpres 2024, Bagaimana Nasib Cak Imin?.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
312,haelamarie,Prabowo Cak Imin Kemungkinan Dideklarasikan Sebelum Ramadan - https://t.co/nlxPe7gcLy https://t.co/vb9OaYaxfK #IndonesiaKuat #BangkitBersama,Indonesia
313,RCendira,"""Jika Prabowo memilih Khofifah sebagai cawapresnya, Cak Imin masih punya waktu untuk membawa PKB ke mana dengan syarat kursi cawapres harus miliknya,"" jelas Arifki.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Seraton
314,rioseptiann_,"Ada Sinyal Duet Prabowo dan Khofifah di Pilpres 2024, Bagaimana Nasib Cak Imin?.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
315,BentengSumbar,"PKB Halangi Khofifah Saingi Cak Imin: Lebih Baik Lanjut Jadi Gubernur Jatim

https://t.co/hSBN1TEk5g",Padang
316,satupersepsi,"- Social Experiment -

Kami memberikan beberapa pertanyaan kepada milenial dan gen z.
1. Kenal gak sama Gus Muhaimin?
2. Apa jabatan Gus Muhaimin saat ini?

Berikut hasilnya

#socialexperiment #satupersepsi #milenial #genz #gusmuhaimin #cakimin #pkb https://t.co/gYIFlceI9H","DKI Jakarta, Indonesia"
317,Mcl781,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/sy8ROcNXrm,
318,heraldindo,Kades Pasuruan-Probolinggo Dukung Cak Imin di Pilpres 2024 https://t.co/DCPkwhW14x,"Jakarta Selatan, DKI Jakarta"
319,UjangOfficial,"Cak imin raih dukungan teratas diuji kekuatan elektoral NU dari SMRC
https://t.co/rrnwgPJPe6
#pkb #gusmuhaimin #muhaiminiskandar #GusMuhaiminPresiden2024

@cakimiNOW 
@DPP_PKB
@SyaifulHooda
@jamaludin190680
@dpwpkbjabar
@Kosasih7Ujang
  @sahabat_k_ujang 
@UjangOfficial https://t.co/cSAJgbLE6w",
320,sahabat_k_ujang,"Cak imin raih dukungan teratas diuji kekuatan elektoral NU dari SMRC
https://t.co/rAmGtEIEoO
#pkb #gusmuhaimin #muhaiminiskandar #GusMuhaiminPresiden2024

@cakimiNOW 
@DPP_PKB
@SyaifulHooda
@jamaludin190680
@dpwpkbjabar
@Kosasih7Ujang
  @sahabat_k_ujang 
@UjangOfficial https://t.co/S1S9uTDQUH",
321,Aba_Mecca,@Umar_Hasibuan__ Cak Imin jg bakalan gabung 😂,Selalu di Hati
322,Edy_sono,@Umar_Hasibuan__ Cak Imin kemana?,
323,MRohman1978,"Memang  sudah saatnya #GusMuhaiminBerangkat menjadi Pemimpin NKRI..
 
Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/dcBERzENeB","Majalengka, Indonesia"
324,Disuruh_Iben,"IMM DKI Jakarta Gelar Bedah Gagasan Cak Imin, Kritisi Ide Tentang Indonesia - https://t.co/Z1QE1sPB8z https://t.co/dLZ4dK3AVm #IndonesiaKuat #BangkitBersama",Pulau Impian
325,Disuruh_Iben,Mahasiswa Muhammadiyah Gelar Bedah Buku Gagasan Cak Imin - https://t.co/v8eGYL9JfV https://t.co/iMaEnC0AAp #IndonesiaKuat #BangkitBersama,Pulau Impian
326,Disuruh_Iben,"Tak Terlihat Hadir di Harlah 1 Abad NU, PKB Sebut Cak Imin Kejebak Macet - VIVA - https://t.co/W4jcm9jFMS https://t.co/mhvEwV6qF9 #IndonesiaKuat #BangkitBersama",Pulau Impian
327,dpwpkbjabar,"Berdasarkan survei SMRC, diketahui tokoh2 utama NU saat ini yakni Muhaimin mendapat dukungan sebesar 18,2 persen. 
#survey #politik #pemilu2024  #GusMuhaimin #MuhaiminIskandar #cakimin #syaifulhuda #acepjamaludin #pkb #partai #nu
@dpp_pkb @cakiminow @syaifulhooda @AcepJamaludin01 https://t.co/oEU0jwg1UL","Kota Bandung, Jawa Barat"
328,Kop15achet,"@archabandung @cakimiNOW Nah, betul ini. Cakimin presiden, prabowo wapres.",
329,dpcbagustikep,"Bangkit  Bersama Untuk Indonsia💚🇮🇩
Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/0Vni5abIk8",
330,Miss_Er,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/d5IgDFkffv,in my sweet home
331,NurMuchlis9,"#BudalGus
#GusMuhaiminBerangkat
Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/28XKNVVMLv","Demak, Indonesia"
332,TwobagoesRoes,"#BudalGus
#GusMuhaiminBerangkat

Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/KkqnHVsrz9",Bandung
333,Punya2015Riza,"Emang layak kok... Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC
@cakimiNOW
@DPP_PKB 
@dpwpkbjabar
@SyaifulHooda
@baGUSMUHAIMIN24
@Brigade01Arwan1
@CecepKholiludi1
https://t.co/F36yElE1Dn","DKI Jakarta, Indonesia"
334,TaminNamat,Gerindra: Cak Imin Termasuk Calon Kuat Cawapres Prabowo https://t.co/YjeLCRXQpl,
335,SyariJamah,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/IQohfOlo8I,
336,AsepBinangkit,"#BudalGus!
#GusMuhaiminBerangkat
@cakimiNOW
Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/PI5eUlVAPC",Majalengka
337,talkaboutthis__,"Pertemuan Airlangga Hartarto dan Muhaimin Iskandar 💛💚 

#AirlanggaHartarto #golkarindonesia #PKB #MuhaiminIskandar #cakimin #capres2024 #pilores2024 #AntManAndTheWaspQuantumania https://t.co/QkXKX7sN0E",
338,Tarmizi_75,"#BudalGus
#GusMuhaiminBerangkat
Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC",
339,sutiyono_arif,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/jVplwbxy11,Jepara
340,A_hudaya21,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/QqS4BKjDgH,
341,Deje0411,"#BudalGus
#GusMuhaiminBerangkat
Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/uToufalrdD",
342,pkb_pabardaya,"Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC

#gusmuhaiminteruji #GusMuhaiminBerangkat
https://t.co/xCk54evu5K","Papua Barat Daya, Indonesia"
343,albarmuges_,"Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC

#gusmuhaiminteruji 
https://t.co/ugd15s8MZc","Papua Barat Daya, Indonesia"
344,Jazilul_Fawaid,"Temuan hasil riset ilmiah dr SMRC ini menjadi pelecut langkah perjuangan kami untuk mengantarkan Gus Muhaimin @cakimiNOW maju di Pilpres 2024.

#BudalGus
#GusMuhaimin 
#PKB 
#cakimin 

https://t.co/S3PdJTAqo8","DKI Jakarta, Indonesia"
345,henrisabastian1,"@OposisiCerdas Mampus,@cakimiNOW pasti mencak2.Utk apa PKB koalisi dgn Gerindra,kalo peluang wapres tertutup.Cak Imin hnya jadi gedibal?
La opo nunut ke Gerindra...oleh opo?
@DPP_PKB",
346,RyanBertutur,"*Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC*

https://t.co/uIr3EZlZhu

#BudalGus",Sumenep-Yogyakarta-Indonesia
347,DPP_PKB,"Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC

https://t.co/DDvUco6GIk",Jalan Raden Saleh No 9 Jakarta
348,IsmailMangngaga,"Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC

https://t.co/lTVhjd755X","Sulawesi Selatan, Indonesia"
349,PKBKuningan,"Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC"" selengkapnya https://t.co/J5h8sArqCA.
#GusMuhaiminPresiden2024

@cakimiNOW
@EmHasanuddin
@Jazilul_Fawaid
@YanuarPrihatin1
@CucunA44
@kangmaman72
@DPP_PKB
@SyaifulHooda
@jamaludin190680
@JabarPkb
@Kosasih7Ujang",
350,SitikhairSitik1,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/ewpVulHDgN,
351,farida318,"#BudalGus
#GusMuhaiminBerangkat
Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/7OlCiAr0Vi",
352,AD1T_RG,"@tempodotco Jujur aja cak Imin ini banyak cacatnya di banding Khofifah at Mahfud MD, di satu sisi cak Imin nggak akur dgn klrg Gusdur.",Nederland
353,HariyantoSlame8,Sejumlah Kepala Daerah di Jatim Berikan Mandat ke Cak Imin Maju Pilpres 2024 | https://t.co/Fjctdpxren https://t.co/kKTnxQzYJz via @merdekadotcom,Nojup Malang Kabupaten 65391
354,tempodotco,PKB Halangi Khofifah Saingi Cak Imin: Lebih Baik Lanjut Jadi Gubernur Jatim https://t.co/XxseFWJ4sq #TempoNasional,Indonesia
355,liputan6dotcom,"IMM DKI Jakarta Gelar Bedah Gagasan Cak Imin, Kritisi Ide Tentang Indonesia https://t.co/ogvOjC6cjN",INDONESIA
356,masbams70,Cak Imin ⁦@cakimiNOW⁩ Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/qVJijRXxSG,"DKI Jakarta, Indonesia"
357,SitiSumiran,"Prabowo Subianto dan Ketua Umum PKB Muhaimin Iskandar atau Cak Imin 

Prabowo Subianto
#Prabowo
#IndonesiaKuat
#IndonesiaBangkit
#BangkitBersama",
358,SitiSumiran,"Restu Jokowi itu, kata Khoirul, juga memberikan angin surga bagi Cak Imin, 

Prabowo Subianto
#Prabowo
#IndonesiaKuat
#IndonesiaBangkit
#BangkitBersama",
359,arifkalbar69,"Cak Imin tidak bisa diragukan lagi soal ke-NU-an, beliau lahir, besar dan dididik oleh keluarga NU!

#GusMuhaimin #CakImin #BudalGus #GusMuhaiminBerangkat #NahdlatulUlama #1AbadNU #PKB #KebangkitanIndonesiaRaya #NU #SatuAbadNU #Politik @cakimiNOW @EmHasanuddin @zainul_munas https://t.co/OTVuYpw720",
360,wazaki12345,@alisyarief Ngabisin sisa honor bentar lagi beralih 😯😮🤗 ke Cak Imin 😯😮🤗,
361,billy4riez,Mahasiswa Muhammadiyah Gelar Bedah Gagasan Cak Imin https://t.co/npIiThXdAb @ImmDki,Jakarta
362,Disuruh_Iben,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC - detikNews https://t.co/CX6Y3lLl9c #IndonesiaKuat #BangkitBersama,Pulau Impian
363,Disuruh_Iben,"363 Hari Menuju Pemilu - Pilpres 2024: JoMan Bentuk Prabowo Mania 08, Cak Imin Menguat Capres - Tribun Gorontalo https://t.co/l0iUveKMUe #IndonesiaKuat #BangkitBersama",Pulau Impian
364,Disuruh_Iben,Gerindra Sebut Cak Imin Cawapres Terkuat Dampingi Prabowo Subianto - https://t.co/v8eGYL9JfV https://t.co/7J6rO5bUGK #IndonesiaKuat #BangkitBersama,Pulau Impian
365,Disuruh_Iben,Gerindra Sebut Cak Imin Calon Terkuat Dampingi Prabowo Subianto di Pilpres - https://t.co/v8eGYL9JfV https://t.co/K6SA8IGKE4 #IndonesiaKuat #BangkitBersama,Pulau Impian
